output,nstep_coarse,aexp,z,time
30,1150,0.0911133799297227,9.97533645191647,0.4869741738410614
31,1265,0.0929719130325735,9.755936576777133,0.5019583719853813
32,1379,0.0948204602037033,9.546247063679028,0.5170086958983026
33,1492,0.0966381289796646,9.347882461698202,0.531951596324673
34,1608,0.0984479846974287,9.15764825530368,0.5469688678619834
35,1729,0.100238927117407,8.976164238357503,0.5619616042239345
36,1870,0.102010578345846,8.802904916485275,0.5769271160860558
37,2000,0.103706145806481,8.642630070025282,0.5913718331213584
38,2005,0.103772878354171,8.636429246831298,0.5919430195065057
39,2135,0.105518535424414,8.47700795862855,0.6069414683119781
40,2258,0.107244681269089,8.324471742247873,0.6218912991854704
41,2378,0.108957672104662,8.177875964892358,0.6368465325532133
42,2504,0.110669034767823,8.035951222471038,0.651906558331729
43,2623,0.112355526241919,7.900318777795084,0.6668593217865078
44,2739,0.114042304405226,7.768675845471384,0.6819258744053542
45,2853,0.115702868784546,7.642828051758439,0.6968663219630142
46,2969,0.117357458159821,7.5209752808225385,0.7118581049463409
47,3085,0.119002866823903,7.403158904396573,0.7268713495177165
48,3114,0.11941553188558,7.3741200513025955,0.7306529778886893
49,3199,0.120636004466841,7.289399208963923,0.7418742950789593
50,3309,0.122244466247295,7.180329389937745,0.756748440134019
51,3419,0.123865624719131,7.073264897081252,0.7718360980569503
52,3526,0.1254553991338,6.970960252842411,0.7867293297842841
53,3633,0.127058295676225,6.87040306717351,0.8018404786423031
54,3741,0.12863721644538,6.77380005283778,0.8168177141764461
55,3848,0.130209461391346,6.679933465007498,0.8318176231981567
56,3949,0.131769885160775,6.588987413777287,0.8467944853737457
57,4054,0.133318820041334,6.500816461546549,0.8617480857585682
58,4074,0.13361445035752,6.484220436668649,0.8646102096109148
59,4157,0.134864350491881,6.414857939498261,0.8767533331289646
60,4255,0.136401747741952,6.3312843607533775,0.8917613242249491
61,4352,0.137919343610279,6.250614553573549,0.9066624533394257
62,4446,0.139434553695462,6.171823436134007,0.9216215560645847
63,4542,0.140950743412341,6.094677018301164,0.9366624329531867
64,4637,0.142447695357692,6.0201205957664605,0.9515976264561156
65,4728,0.143952911328402,5.946716052992389,0.9666840094489932
